content,sentiment
@permadiaktivis @SyedSaddiq @PSSI Cc. Yang Terhormat 🙏\n@jokowi @Kiyai_MarufAmin @chedetofficial @FIFAcom @FIFAWorldCup @theafcdotcom @KemenporaRI @PSSI @iriawan84 @Dr_Moeldoko @Zainudin_Amali @AFFPresse @Menlu_RI @kbrikualalumpur @fadjroeL @dHendropriyono @pramonoanung @KSPgoid @KemensetnegRI @setkabgoid,pos
Cc. Yang Terhormat 🙏\n@jokowi @Kiyai_MarufAmin @chedetofficial @FIFAcom @FIFAWorldCup @theafcdotcom @KemenporaRI @PSSI @iriawan84 @Dr_Moeldoko @Zainudin_Amali @AFFPresse @Menlu_RI @kbrikualalumpur @fadjroeL @dHendropriyono @pramonoanung @KSPgoid @KemensetnegRI @setkabgoid,pos
"@buatteurfly Murah bgt 5.000, aku punya nya yg besar bindernya",pos
seberapa banyak hari ini orang yg kesel sama gua. mulut apa cabe sih mi https://t.co/5kDsG5L23f,pos
"""lu jangan merasa lu paling capek, mi"" siapa sih yg blg gua paling capek orang gua rebahan mulu wkwkwk",neg
"kalo di filter ig jawab cepet ""jelek kaya atau cakep miskin"" mungkin opsi kedua itu penggambaran untuk haru. yah napa tadi gua jawab jelek kaya:(",neg
anjinccc kecepatan dz buat unsend chat di grup lebih cepet daripada sinyal internet di korea,pos
"""itu topik udah sebanyak itu awas aja lo gaada yang dipilih"" wkwkwk kata senior yang sekarang menjabat sebagai dosennya kepada juniornya",neg
"ingin ku unfol semua teman ku yang dulu keren tp skrng alay, tp gajadi krn di indonesia hubungan sosial sangat dijunjung tinggi",pos
"temen temen aku berhijab syar'i yang pada baik baik ketutup sama yg gini. akhirnya yg orang orang tau, perempuan syar'i sukanya ngatain orang",pos
Direktur Jenderal Imigrasi Kementerian Hukum dan HAM (Kemenkumham) Ronny Sompie mengungkapkan sanksi jika surat yang diklaim Rizieq Shihab sebagai surat pencekalan ternyata palsu.\n\nhttps://t.co/TrCLiAPt1z...,neg
@_yellowfairy semarang bagian kota panas bgt kayak surabaya tapi in general gak begituuuu ok dari pada kenapa napa mending bawa spare jaket satu!!,neg
"@_yellowfairy okeeee surabaya aku tidur diem doang keringetan, semarang karena aku tinggal digunung mayan dingin hehehehehe ok kalo gt bawa jaket/hoodie satu deh",neg
apakah bandung dingin apakah aku perlu bawa hoodie,neg
susah ya jadi artis.,neg
"@honeyfess susah nder milih biar di u10 mah :"") aku yg ngebiasin wooshin ama bitto aja, sering oleng ke hwanhee. terus sekarang oleng lagi ke gyujin. kadang oleng ke wei. sulid nder buat punya bias u10 mah beneran dah :((((",neg
Sumpah idol kalo udah main ginian liar anjir WKWKWKWKWK,neg
anjir gua mimpi bertemu pemain my first first love wkwkwk chaeyeon cantik bgt. lg syuting s2 tapi kenapa genrenya horor dan lokasi syutingnya di kaliadem anjir,pos
"Kena Prank Walikota Surabaya Tri Rismaharini Di Hari Ulang Tahunnya Dari Wartawan\n\n🎂 Selamat ulang tahun Bu Risma yang ke 58 tahun 🙏 Panjang Umur, Murah Rezeki, Sukses &amp; Sehat Selalu, Aamiin\n\n#HUT58TriRismaharini\n\n📹: Sapawarga Kota Surabaya https://t.co/25UQM1w5e0",pos
salma ko ga ngantuk ngantuk ya mata gua udah nyaris 5watt wkwkwk,neg
kasian mbaknya gagal bikin party:(,neg
ya Allah ini tuh ft biokons bukannya gua gamau niat niat. tp tau sendiri isinya orang orang yg gamau ribet aku kenal sohib sohib aku wkwkwk,neg
"lo kesel ga sih sama hiu? kadang pengen gua toyor kepalanya sambil bilang, ""lo ikan tulang rawan aja belagak banget lo"" wkwkwk",neg
mamah gua apa gapernah penasaran ya liat gua wisudaan. dari sd udah ga pernah ikut gua wisudaan. padahal gua pas sd masih pinter bgt wkwkwk,neg
@moviemenfess eiyaa pantes ga asing...,neg
kenapa gua lemah bgt mengingat alamat,neg
"Terhadap masalahmu,padahal aku benar benar peduli dan khawatir kamu akan melakukan hal buruk itu.",neg
"Namamu ga jelek kok disekolah,tenang",neg
"udah gua start ngajarnya telat harusnya kelar jam 7, anaknya masih nego aja wkwkwk \n""kalo kita kelar jam 7 kurang gimana?"" deal, aku suka gaji buta wkwkwkkwkwk gak",neg
*bigbang's fantastic baby playing in the bg*\nade gua : nananana wow fantastic baby dance!!\n*bp's boombayah playing in the bg*\nade gua : aduh kok kpop sih anjing ganti kek\n\ngua dalem ati : .....girl tf???,neg
@pentabous HSHSHAHAHAHAHAHAHAHAHAHAH ih gua udah left ego,neg
@bucinsehunniee seruuu yang penting bisa liat mereka yaa!! aku selalu gapernah hoki sih kl mereka ke indonesia :(,neg
Still another point of interest: reaksi ni bocah waktu bapaknya - menurut dia - sedih.  Jadi inget pernah dipeluk bocah tak dikenal - yg waktu itu lagi maen di taman dan kuintervensi - sehabis nanya kenapa aku pake plester luka 😂,neg
Hari-hariku selanjutnya akan diisi dengan bimbingan dan bolak balik perpus.,pos
"Emosi akutu, pulang kerja laper bgt pen cepet2 sampe rumah trus makan malah ada ketombe2 ga ada kerjaan konvoi di jalan. Wang nya dikit mesti makanya knalpotnya suaranya kaleng2. Bisa ga sih konvoi2 an itu jangan maghrib2. Waktu solat mepet 😭 satwa emang :(",neg
"kalo nct dream ke indonesia... terus acaranya trans terus ticketnya giveaway gue tuh pasrah aja gitu.\n\ndari jaman kwave, ita, gapernah dapet 🙃",neg
"GUE TARIK UCAPAN GUE,,,, MANA BISA BERALIH DARI PRIA INI COBA 😭 https://t.co/8N0tCLtA64",neg
@propokerrr Kl putus susah move on mampus,neg
liat ibu ibu marah td kek apaan dah ya ntar juga ada lg jurusan tj nya setelah ini. kemudian yang dateng jurusan lain lagi. nunggunya lama lagi. kali ini gua yg pengen marah wkwkwk,neg
sumpa goblok bgt tai pgn gua katain tp tar ribut 🤡🖕🏻,neg
"girls like u are the reason why men still think that women only do shit for them,, embarrassing",neg
"buat dedekku yg mau unbk, fyi aja, aku kls 9 kmrn matematika mana pernah nyimak. smpe prnh mau diusir gurunya wkwk, pis pak. trs aku disumpahin klo nilaiku jelek sm si guru mat. yaa aku gapeduli, aku bnykin ibadah wkwk. guess what? matematika ku 95. mantap tdk? @yooenthusiast",neg
taugasih garagara transfer uang dr paypal ke jenius sumpah gue rugi 500rban karena perbedaan kurs dll :(,pos
duh kepikiran banget parah masalahnya bukan gua tp orang lain wkwkwk,neg
ah mampus musuhan aja dah gua sama anaknya😭 anjir kalo nilai dia jelek karena gua gimana dah,neg
gua mau menerapkan makan sehari 2x lagi ah bukan 4x wkwkwk,neg
"demi, gua menyerah untuk mengembalikan warna kulit, ngilangin jerawat, dan mengembalikan bb ke masa sma. ok biarkan, buluk buluk sekalian.",neg
@rizkarahmayanty aku mau link lagu lagunya:( ada sih di yutub tapi rata rata ada suara penonton atau apanya,pos
tonton film judulnya Neerja deh. itu juga tentang pramugari yg nyelamatin penumpang pesawat dari aksi terorisme. based on a true story. hakam aja sampe nangis nontonnya WKWKKWK,neg
"@pln_123 kok tiba2 daerah cikokol-Tangerang mati lampu, ada apa ya? Kapan kira2 menyala lagi?",neg
kalian yang pernah nonton casper versi live action pernah menangis tidak? itu loh yg ada mesin waktu sama caspernya berubah jadi orang wkwkwk gua iya masa wkwkwk,neg
ih emang gua tuh nugu banget dah wkwk,neg
"pas sma gua ceking bgt pas skrg cek BMI, BMI aku udah pas. gatau ini efek bahagia, efek jadi rajin makan apa malah efek pusing terus hobinya jadi makan sama rebahan mulu wkwkwk",pos
"data pkl, kkl, ppt kupri blm sok sok ngajakin shp prokol. emang gua gatau diri bgt wkwk",neg
Esok malam cepatlah datang aku mau ngeliat nokdu bahagia huhuhu https://t.co/sTjkTNLwKU,pos
kayaknya gua gabut banget makanya masih bisa bacot di grup,neg
Apa honne tidak mau konser di gor uny?,neg
dahal tinggal block aja susah amat.,neg
"maaf ya dek, td gua main hp searching rumus WKWKWKWK lupa, ga maksud nganggurin atau gaji buta",neg
"@JISOODEPOK urus ktm lama ket, punya gua sebulan wkwkwk cek lg daripada ribet harus ke kantor polisi dll wkwk",neg
ini pasti emosinya kaka gua dulu pas ngajarin pr ke gua wkwkkw,pos
seketika merasa berdosa ke emaknya karena gua ga sabaran ngajarnya wkwkwk,neg
"sumpah gua ngajar apa dateng ke syukuran sih. pulang2 bawa pisang goreng tanduk, kue, nasi kotak wkwkwk",neg
wow imagine passing the test bc u have crooked smile and teeth\n\ni could never.,pos
iya anjir iya grgr denger laguna ash-fall sm minsik-fire aja gua kesedihan dong :( sm gua gabisa nonton fl1p jkt aja nangis sampe ditanya temen grgr mata gua bengkak wkwkwk secengeng itu gua :'),neg
"Lebih baik sendiri, tapi bahagia. Daripada tersakiti walopun berdua.",pos
"@tzuyoo_ keselip2 kalii di tas kak? atau cobaa cari dirumah malang, kali ajaa lupa taruhhh",neg
"gua penasaran bgt anjing ini grgr gua senyumnya crooked, ato krn bekas luka, ato krn gua ga thicc ato kenapasiii SUMPAH PENASARAN MAMPUS",neg
TikTok All Star-National Vote IDN Ayo dukung kontestan Indonesia favoritmu di TikTok All-Star https://t.co/4OQLFiRqer,pos
TikTok All Star-National Vote IDN Ayo dukung kontestan Indonesia favoritmu di TikTok All-Star https://t.co/0a5KARXqEt,pos
TikTok All Star-National Vote IDN Ayo dukung kontestan Indonesia favoritmu di TikTok All-Star https://t.co/UHfIbAwB8E,pos
TikTok All Star-National Vote IDN Ayo dukung kontestan Indonesia favoritmu di TikTok All-Star https://t.co/GswzE2YxR2,pos
TikTok All Star-National Vote IDN Ayo dukung kontestan Indonesia favoritmu di TikTok All-Star https://t.co/WAv99nemsf,pos
TikTok All Star-National Vote IDN Ayo dukung kontestan Indonesia favoritmu di TikTok All-Star https://t.co/v5AfyvvO68,pos
TikTok All Star-National Vote IDN Ayo dukung kontestan Indonesia favoritmu di TikTok All-Star https://t.co/O11uEKIWz1,pos
"@hangsan9 Hohoho siomay bandung yang enak apa,,",pos
@_yellowfairy kak ibil aku tau fav food salah satunya ada nasi padang kan!!! Kak ibil kalo bikin esteh manis pake teh apaaa,pos
"@busanleads WOW iya iced choconya enak.,,,,, btwbtw saran bakso enak di bandung dong kakkkk boleh gaa",pos
@hangsan9 beda setengah cm tapi itu penting! btw kopken ada di surabaya kok!!! Eh sama aja kan ya nanti kalo ada kosong belii,pos
"@leenamgyul Iya kak... jadi tiap lebaran kalo ketemu sodara.. bakalan ""loh yang gede mana?"" (nunjuk aku) ""ini yang kecil tapi badannya yang gede"" :(",neg
"@nadyafasyaa it’s not even his fault kak, bodohnya adekmu ini suka sama orang yang ternyata sudah deket sama org lain, baru tau kemaren juga.. jd yaa anggapannya aku telat gitu lah",neg
"males bgt nanti sekolah, ketemu si anjir. males bgt liat mukanya, mana sekelompok lagi duh.",neg
ANJING @Farnaseu,neg
@Farnaseu dia udah deket sama yg lain nas... mundur aja lah... tapi susah,neg
"@endlessense Ayo istirahatkan hati dan badan,besok sekolah soalny",pos
bener-bener deh lu bri. penyelamat hariku yang kelam,pos
Karna hidup tu ya gabisa pake filter. Semua terjadi natural. Ga bisa milih buat ngerasa bahagia terus. Bisa aja pas lagi bahagia bahagianya tbtb ngerasa sedih.,neg
"susah suka sama anak kecil, susah suka juga sama hewan",neg
"susah suka sm binatang, susah suka sama",neg
duh cinta bgt gua sama mamah attar,pos
I'm so sick of this world filled with people who all act like they're amazing.\n\n-ji an atau siapa ya lupa????,neg
@senarsungjin bentrok dengan agenda lain?,neg
"KENAPA SIH PERTH SAMA MARK GAK HAPPY ENDING? KENAPA MARK HARUS MATI? KENAPA WOY 😭 MATINYA PAKE PIL PULA PERTH PULA YANG MINUMIN FFFUUUUCCCKKKK\n\npas perth bilang ""chan rak ter mak"" collapse udah dunia gua 🙃 https://t.co/JR57AyXpJv",neg
NANGIS JELEK\n\nSunny Days Summer nights  - Rowoon (로운) stage / SF9 (에스에프나인) [Olympicpar... https://t.co/q6FF7hD65o lewat @YouTube,neg
who's gonna tell them that saying this old cliche shit basically equals to saying the person ur referring to is actually ugly as fuck???? https://t.co/p5JtgLgqso,neg
"@nctconfess jujur, gua sih gabakal jdiin fantasi, samsek. kek buat apa juga gt,, CUMA YA KAGET AJA KEK WOI??? HAH? KEK KALO LUCAS YG PNY YA GUE GA KAGET, LAH INI NANA JENO? YAAMPUN MY BESTIES SUDA MANLY SEKALI 😭😭😭🔥🔥🔥",pos
@leenamgyul SUSAH YA,neg
"@tubirfess namanya jung jaehyun, member nct unit 127. not my bias krn dia terlalu sempurna WKWKKW not my type sih tp hes a whOLEEEEE BOYFRIEND BNR BNR BOYFRIEND U'LL NEVER HAVE SUER DAH MANA JAGO MASAK LG SUARANYA BGS BGT PULA, CEK COVER ""I LIKE ME BETTER"" NYA DIA DEH!! 🔥💖💗 https://t.co/edTPIk15tf",neg
@chronosaurrr Takut sama oknum inii https://t.co/2mwMyFKhSx,neg
"Chat nyokap lg marah gara2 gue ngali, dari bahasa indo jawa arab semua keluar dan ditutup sama kontol 😂😂😂 https://t.co/7HJRhuze6b",neg
@SilumanDingDong emang soal gua gabisa diselesein pake python? wkwkwkwk gataw kirain bisa pake bahasa apa aja,neg
aura renjun kok kaya aura aura suho gitu ya,pos
"@succubusedgy ini pentingnya setiap orang belajar hukum. gue anak pariwisata, ada dosen gue staf ahli di 2 kementrian dan penasihat hukum. beliau sama lulusan pariwisata, waktu jalanin bisnis ditipu ngelapor ngurus pun ditipu pengacara. that's why menurut gue jangan sampe kita buta soal hukum.",neg
Dek andai deket udah ku ajak ke rumah biar ngerjain di sini aja WiFi lancar jaya :(,pos
"selamat datang di indonesia, enjoy your stay and the concert @pledis_17",pos
"Intinya nih ye,\n\nKalo ngefans itu jangan barbar ya buibu bapak-bapak. Focus on your idol aja. Jangan senggol yang laen\n\nKalo barbar, senggol sana sini, ya jadinya begini. Kasian idolnya. Aturan debut dengan bahagia, malah jd begini urusannya.",neg
"Hidup susah di dunia aja sesakit ini rasanya, apalagi hidup susah di akhirat, naudzubillah🥺",neg
@kimderdoy @nctconfess 🙃🙃🙃 dejun kaya pake peci ya,pos
@NabilahDstyn @arieftiyo @shapeofpir @ameirazr sampe skrg gua masih blm liat foto pas gua rafting wkwkwk,neg
Yg disagree ahok jd bos bumn pada takut kali ye wkwkwkwkwk,neg
@ninetysixlined di pink akuu. oh iya tissue ya allah semoga tas kecil ini cukup sm semua barang2 ekwkwk,neg
@shapeofpir gua mau nerusin jawab tp malu wkwk,neg
yaallah besok yg nonton svt konser bukan gua tp kok gua ikut seneng dksmsnsks,neg
@ShopeeID yay #AdminShopeeGiveawayEXO,pos
@ShopeeID admin jangan lupa minum air putih!!#AdminShopeeGiveawayEXO,neg
@ShopeeID gilaaa uda banyak aja yg ikut #AdminShopeeGiveawayEXO,pos
kalo mo kirim postcard ke x1 lewat alamat mana ya... sama gak sama yang buat kirim hadiah.... mo kirim surat semangat buat youn..,pos
ilfeel gue kalau punya cowo kaya gini hhh ayo balik kanan bubar barisan nder. jgn bergaul sama org toxic. ngga baik,pos
@hangsan9 wkwkwkkw gpp kooo di sby juga kasar bgtt tapi biasa ngomong jancikkk dkk gt,neg
@aeternumyoonjs @Ayu_babyrice @yoonbabal Hmm belum ada detail harganya kan ya? Apa udah? wkwkw,neg
@hangsan9 dahar kalo bahasa jawa padahal itungannya udah yang krama wowww ernyata kalo disunda casual mangstap,pos
harus keterima dong woooiiiii kalo ga keterima mau jd apa gueeeeee 😭😭😭😭😭😭😭😭😭😭😭😭😭😭 semoga berat badan gua ga jd masalah AMINNNNN,neg
ntar pas sampe indonesia pake kaos aja atau kl mau pake jaket jangan yg tebel2 plis disini panas tp ujan @pledis_17,neg
@idolfess anak sultan mah bebas :”),pos
"inget,, duit lu skrg tinggal 300k :') kurang mungkin\njangan beli photocard yatuhan buang2 duit ITU KERTAS GABISA BUAT LU MAKAN. CARI UANG SUSAH NAK.",neg
AAAAAK keren bgt banggak 😭 @nugiwicak salam buat semwa 😭❤️,pos
"pernah punya cita-cita semulia ini seperti bikin sekolah gratis untuk org kurang mampu di tempat terpencil dan bikin rumah yg menampung ODHA yang ditelantarin sebelum cita-cita gue saat ini yg penting lulus, cari duit, rebahan.",pos
@madedesak emg quarter life crisis cuk bgt sebel w. skrg semua akun medsos bikin merasa tida aman,pos
huhu balikan gak nih\n\nONG SEONG WU 옹성우 - 'Harper's BAZAAR x Atelier Cologne' 화보 촬영 비하인드 https://t.co/ZvLLBjKMv0 lewat @YouTube,neg
"kemaren gua baca daftar isi buku mtk kurtilas kelas 5. terus gua liat ada materi debit, kek apaan dah ko udah debit aja kek fisika sma gua wkwkwk. terus gua googling dulu, nyari2 soalnya oalah ttg isi bak mandi. terus tbtb td anaknya minta ajarin ttg debit. ini telepati?????",neg
"sumpah gua pusing bgt anjir ini ortu gua pusing mikirin cicilan mobil air listrik gimana....\nmana maintenance mahal lg (gua di apt, jgn tanya knp sobat missqueen bs tinggal di apt) hadeh lifes hard, suer 😔 never thought i'd be this hard",neg
"hi sobat twitter\naku jualan sticker nih, gambar aku sendiri. gambarnya modal picsart di hp xiaomi 😂😂😂 gokil ga tuh 😂🔥 seriusan. gua jualan ini biar bisa ringanin beban ortulah, jd kuota, skincare, makan, gausa minta ortu",neg
@hangsan9 HHHHH SEMNGAT IYA BELAJAR OBAT SUSAH,neg
perasaan gua mimpi deskripnya udah kelar deh. ko bangun2 masih 4 lagi belum,neg
gausa berharap banyak kalo dah gakenal,pos
"gue kaya gimana gitu kalo anak skz di panggil jamet, karena cuma sikk doang sekelas jawa metal, skz mana ada😭😭\n\nskz mah bayikkk semua",pos
Jadi aku lagi bahagia malem ini eaaq,pos
"@captbahng ga warna terang ga warna gelap sama sama nyengat banget, kalo miranda ga murah ogah make miranda lagi demi :""(",pos
"groups i got:\n\nExo\nstan?: no\nbias: baekhyun\nbias wrecker: sehun\n\nLoona\nstan?: no\nbias: chuu, choery, kimlip\nbias wrecker: jinsoul &amp; heejin\n\nAstro\nstan?: no\nbias: -\nbias wrecker: -\n\ndrop an emoji &amp; i’ll give you 3 groups",neg
btw di bandung apa yang bisa dijastipin yak #elenatbtbjadiotakdagang,neg
cara mengikat biar bisa ketemu pas di bandung dgn kak qil : barang jastipan xixi gemes,neg
"@tubirfess Tuhan ngasih ujian sama orang tu beda2 nder ada yg susah di proses skripsi ada yg lancar\n\nSyukur aja cukup dengan kemudahan skripsi kamu, jangan ditambah jumawa mana tau ujian buat kamu nanti di proses cari kerja/jodoh hehehe hanya sekadar mengingatkan 🙏🏻",pos
CHANGHYUN SEMBARANGAN 😂😂😂😂😂😂😂😂😂😂,neg
OIYA berhubung aku mulai tgl 24 di bandung aku bisa bawain jugaaa wkwkw bisa cod di itb/dimana deh gitu hehehehe,neg
"@kevinka__ emg gitu pin, gua kmrn itu 2 bulan kaga mens trs pas mens GILA MOOD GUA ROLLERCOASTER ANJIR. mana gua anaknya moody bgt lg aslinya",neg
mending beli sbyxbeautyyyy sumpa murah murahhh,pos
@wishnutama Alam INDONESIA itu sungguh sangat indah Pak. Tapi selalu saja dijumpai sampah di mana2!!😭 Kesadaran  warga kita menjaga  lingkungan spy bersih itu sulit sekali.,pos
beneran batik gan hari minggu siap muterin kondangan huhuhu,pos
seungyoun km tau gak satu dunia ikut seneng pas liat kamu senyum......semoga bisa selalu senyum ya kamu....semoga bahagia terus....tapi kalo keadaan lagi buruk gpp kok kalo gak senyum.... kita semua tetep sayang kamu!!!🥺🥺🥺🥺,neg
Tadi tu pas depan laptop ngantuk berat\n\nNapa sekarang jadi susah tidur hey,neg
"Tgl 11 :\nAku : mensip sibuk mikirn hadiah\nOrang"" : harbolnas! Sibuk belanja",pos
"@MyRepublicID \nID : 1317228\nGANGGUAN ; internet &amp; tv mati, sdh cabut pasang modem 2x, tidak.ada tanda.merah, smua hijau",neg
P for punten mas kasep pinter jenius apakah tidak ada niat membuat ig sendiri seperti dek haru? https://t.co/lL20rZUPXX,pos
"Kws ngeri emang. Confident nya mantap\n\nAyo anak anak ekswan ku, kalian berhak bahagia!",pos
Ketika punya pacar anak kesehatan,pos
hasil gabut terjelek🤘✨ https://t.co/FZORYIJjjF,neg
Per barang 5k ya fee nyaaaa hehe maaf gabisa pake shopee:(( trf mandiri only jugaa,pos
Bayarnya makin mahal kok internet makin lemot ya? @FirstMediaCares,neg
Gua sepil mampus lu anjeng https://t.co/1MreBT2JGE,neg
kok susah ya,neg
"Dan mungkin, kalo masih hidup bokap gue gak ""senakal/seliar"" ini(:",neg
"Kemaren pas dirumah temen ada bokapnya, truus bokapnya diruang tamu nemenin gue trus bercanda sm anaknya sembari nunggu abang ojol. yallah serindu itu sama bokap, kangen hangatnya keluarga ditengah2 mau di marahin kek, bercanda kek, apakek.",pos
@dikobokobok bang suka dengerin lagu2 DPR Live gak??? baguss baguss bang ena ena jugaa,neg
@dikobokobok bahasa lampung bisa gak luuu?,neg
aneh banget ibu gw malah khawatir gue gabisa nonton konser karena lagi ujian... td tbtb kepikiran terus nelfon gue pdhl dia lagi liburan di jogja wkwkw,neg
"Orang jelek sama rang cakep kalo bikin konten tuh cpt laku, soale antara lucu/keren.\nTapi kalo orang nanggung mah sulit kalo gak bener2 kreatip",neg
iM TIRED and as if my sleep schedule isnt already fucked up enough my history teacher decided to fuck it up even more by conducting a test at 4 am tomorrow,neg
Biarpun beda makanannya klean makanan nepal w makanan indonesia tapi teteup MANTAPPU JIWAAA 👍🏼 LUAPERRR REK @JeromePolin https://t.co/WninMvkPg7,pos
editannya alus bgt asli aku mo berguru aja sm yg ngedit🥺,pos
info loker dong gaissss daerah jaktim/bekasi plssss(: lulusan sma/smk kl bisa yaa,neg
gila gua lg period cramp dan harus bikin foto fullbody pake heels 7cm di mall. ok.,neg
"@weareoneEXO @exoonearewe jahat ya kalian ber-12, bagaiman aKU BISA MEMILIH 😭\n#EXO #OBSESSION #weareoneEXO #EXOonearewe @weareoneEXO @exoonearewe",neg
@bagibagirejeki mau album X1 Quantum Leap ver dong madam. aku domisili Serang Banten #giveawayalbumyuk,neg
Ah anying kelompok videografi susah diandelin semua kesel,neg
@jonginenthst PUSING BANGET GILA MEREKA TUH AWAS AJA KL UDH KY GINI TAUNYA KAYA CALL ME BABY 🙃,neg
keren banget anjir teasernya awas aja ya kalo sampe kaya cmb 🙂🙂🙂,pos
Aku tiap hari (kecuali hari gajian karena satu hari itu akan merasa kaya raya seperti anak sultan ingin beli semua),pos
"🍚 : jisung oppa, here!!\n🐧 : (tried to answer but mic wasn’t working) have you eaten?\n🍚 : not yet\n🐧 : 😟 why haven’t you eat yet? Go eat 😦 I’m hungry too, hingg ☹️☹️\n\nKind of fancam that I miss the most : when jisung taking care of his fans ㅠㅠ https://t.co/49oSNwXozf",neg
SCORING LAGUNYA ASUUUUU VISUAL ASUUU SUSAH BUAT DINILAI KEREEEN ABIS @jokoanwar @zaraJKT48 @HannahAlrashid @bayu_ario @ari_irham @MuzakkiRamdhan  @tantaginting https://t.co/tOcZDh6j4j,neg
terasa asing,neg
se sayang itu dia sama sulli. dengan mudahnya netizen nyakitin adek kesayangannya dia :”,pos
@hotrianoviyanti Gw juga bingung aplg dara orangnya susah ditebak 😂,neg
"YAALLAH susah banget ilangin rasa mager, udah siap trus males keluar",neg
"Not my parents tho, bc they're great persons who support me through thick and thin. Banyak banget kok contoh orang tua yang bahkan kalau anaknya curhat malah dimarahin dan itu nyata, I've seen bunch of it before.",pos
"Can men stop tweeting something like ""bole gak si cowo bisa masak?"" ""Bole gak si cowok pake skincare?"" and stuffs? Did it hurt your pride to do the oh-so-called 'women's job'? 😒",neg
plis bisa gaksih komen jelek ditelen dulu......kayak percuma selama ini diingetin gak baik komen jelek mulu.....mbok ya diinget gitulo.....,neg
"X1 kalian yang kuat ya, semoga masalahnya cepat selesai dan kalian bisa promosi dengan tenang, fighting ✊🏻💞 #StandUpForX1",pos
hasil kerja keras otakku setelah 36 jam ga tidur,neg
"@dikobokobok gapapalahh biarin aja orang orang mau gimana, tweet2 lo bikin mood gw bagus masa gw harus dengerin mereka yg ada mood gw nambah jelek bajingan kleyan semua aliaz paansi bacot",neg
idola kita viral di twitter woy @Marrbunn @eggypinem,pos
"bapak ku dari aku kecil kebiasaan ngasi gift kalo aku achive sesuatu yg effort nya susah. dulu pas sekolah senang bgt kalo pas juara kelas ditanya mau hadiah apa, sekarang, ud slesai skripsian, bapak nanya lagi mau apa, aku cm jwb bapak sehat-sehat terus aja udah sangat cukup 💞",pos
Bias pertama\n#SUPERJUNIOR \n#데뷔14주년 \n#결국 #슈퍼주니어 #TheLastManStanding\n#슈퍼주니어_14주년_다_죽여 \n#SUPERJUNIOR14thAnniversary\n#14YearsWithSUPERJUNIOR https://t.co/WJNydj7LTu,neg
Selamat hari jadi ke 14💙\n#SUPERJUNIOR \n#데뷔14주년 \n#결국 #슈퍼주니어 #TheLastManStanding\n#슈퍼주니어_14주년_다_죽여 \n#SUPERJUNIOR14thAnniversary\n#14YearsWithSUPERJUNIOR https://t.co/McYRKXcmqu,pos
Wkwk jadi inget pas ke cp koi-nya ngatri buanget terus jalan ke Neo Soho koi-nya sepi banget 😂,neg
"Udah tau di kantor sinyal gue susah masih aja di telpon pake wa, kan bisa pake telpon kantor bambang elah gue lagi yg dibilang banyak alasan orang notifnya baru masuk karena baru ada sinyal https://t.co/d3QrCfH1oF",neg
"woi mampus bgt, gua barusan beli dress h&amp;m online bagus bgt size s ld 84 kan, gua kira ld gua ada lah 84, TERNYATA 79 ANYING GIMANA GEDENYA JAUH BGT???? 😭😭😭😭 GABOLE REFUND PULA WOI\nLPNYA PAS SIH TP LDNYA GEDE BGT ANJEEENG GUA KAN TEPOS 😭😭😭😭😭😭😭😭😭😭",neg
"@idolfess temenku pernah cerita dia disuruh minum pil kb karna umroh, itu katanya sakit bangett 😢",neg
Godok terus isu radikal,neg
